Date;P;Tmax;Tmin;Tmean;ET0;Qmm;NDSI1;NDSI2;NDSI3;NDSI4;NDSI5
2000-04-02;0.33945906;-5.1978025;-12.402903;-8.800353;0.708014897;0.3128415331278685;68.11305071;68.2923588;67.83792815;66.48632974;68.08471761
2000-04-03;1.1388526;-2.8482676;-8.091033;-5.4696503;1.716144417;0.314283199179149;68.11305071;68.2923588;67.83792815;66.48632974;68.08471761
2000-04-04;0.0;-3.0321946;-7.712063;-5.372129;1.150979092;0.3157248652304295;80.03823774;73.86960133;71.99164578;68.65865783;68.96428571
2000-04-05;2.4214427;-2.391386;-7.8558383;-5.1236124;1.32128331;0.3113998670765879;80.03823774;73.86960133;71.99164578;68.65865783;68.96428571
2000-04-06;0.15540984;-4.5474815;-11.853288;-8.200385;1.17301175;0.279683213948417;80.03823774;73.86960133;71.99164578;68.65865783;68.96428571
2000-04-07;0.0;-6.212513;-15.256818;-10.734665;0.760385382;0.2753582157945755;72.67414796;71.55481728;70.69674185;68.86329743;68.31478405
2000-04-08;0.0;-4.7964706;-12.596937;-8.696704;1.053691447;0.273916549743295;82.6882793;82.84966777;82.57309942;80.83678542;77.89534884
2000-04-09;0.0;-2.611694;-9.021463;-5.8165784;1.506671997;0.2912165423586609;82.6882793;82.84966777;82.57309942;80.83678542;77.89534884
2000-04-10;0.0;-4.429467;-9.741787;-7.0856276;0.983081547;0.285449878153539;83.04655029;81.75498339;80.91645781;80.01491301;77.19684385
2000-04-11;1.3620492;-3.264886;-8.765287;-6.0150867;0.996400025;0.3171665312817099;81.7755611;79.97009967;78.3625731;76.14167357;74.42026578
2000-04-12;8.701525;-3.8772535;-9.2867985;-6.582026;0.916655339;0.348883184409881;81.00415628;79.26827243;78.02255639;75.98757249;74.40531561
2000-04-13;2.7045574;-3.1789703;-8.399937;-5.7894535;1.499321193;0.3387915220509175;81.00415628;79.21594684;77.81035923;75.34631317;73.84468439
2000-04-14;0.0;-2.1857877;-5.8219604;-4.003874;1.26445905;0.4036664943585399;81.00415628;79.21594684;77.81035923;75.34631317;73.84468439
2000-04-15;14.282149;-1.8777028;-7.203192;-4.5404477;1.320839799;0.4800747950764065;82.35660848;78.79232112;77.74701874;75.34439834;73.84468439
2000-04-16;1.7601311;-2.4865096;-10.34615;-6.4163303;1.786679246;0.4642164685123209;82.35660848;78.79232112;77.74701874;75.34439834;73.84468439
2000-04-17;26.764162;-1.1272056;-6.17334;-3.6502728;1.612586604;0.6501913891275054;82.33779264;78.48832866;77.57602085;75.28190158;73.84468439
2000-04-18;4.1342134;-1.1869105;-6.5218635;-3.8543873;1.523420151;0.6127080717942125;82.33779264;78.48832866;77.57602085;75.28190158;73.84468439
2000-04-19;5.460394;-0.6619987;-5.434071;-3.048035;1.516853819;0.4685414666661625;82.33779264;78.48832866;77.57602085;75.28190158;73.84468439
2000-04-20;0.0;3.0295959;-4.2075396;-0.58897185;2.568284638;0.6473080570249444;82.16292602;79.70930233;77.90309106;77.02319801;75.49169435
2000-04-21;0.0;5.132098;-2.6287775;1.2516602;2.979837056;1.0884578687167774;89.46550291;89.42109635;86.99164578;85.02899751;82.28488372
2000-04-22;0.0;4.442974;-1.1383382;1.6523179;2.396309849;1.629082637946965;92.21113882;91.89285714;89.91812865;87.89726595;84.24916944
2000-04-23;7.9542465;7.0494227;0.15526143;3.6023417;3.118194864;2.1048324348695298;86.12718204;88.37541528;88.51378446;84.70008285;80.13538206
2000-04-24;17.34041;3.85786;-4.9985085;-0.570324;2.850195297;1.715582601023795;86.12718204;88.37541528;88.51378446;84.70008285;80.13538206
2000-04-25;0.0;3.4286814;-5.0193777;-0.7953481;2.738947197;1.18216616205001;86.12718204;88.37541528;88.51378446;84.70008285;80.13538206
2000-04-26;0.0;7.286702;-1.4099294;2.9383867;3.120230443;1.6146659774341598;86.12718204;88.37541528;88.51378446;84.70008285;80.13538206
2000-04-27;0.0;6.1740136;0.63214624;3.40308;2.534501952;1.715582601023795;86.12718204;88.37541528;88.51378446;84.70008285;80.13538206
2000-04-28;0.5392951;3.5642445;-1.0774301;1.2434071;2.314246;2.1624990769207497;86.12718204;88.37541528;88.51378446;84.70008285;80.13538206
2000-04-29;0.04036066;2.799246;-2.3702917;0.21447709;2.153707666;2.9121654235866097;86.12718204;88.37541528;88.51378446;84.70008285;80.13538206
2000-04-30;0.34550822;4.589814;-1.6857074;1.4520533;2.849998902;2.62383221333051;86.12718204;88.37541528;88.51378446;84.70008285;80.13538206
2000-05-01;0.8161147;5.4794674;-1.4945141;1.9924768;2.775425723;2.99866538666344;83.12136326;86.07641196;85.6449457;83.70671085;81.12375415
2000-05-02;0.07980329;5.93683;-1.7080847;2.1143727;2.822850539;3.28699859691954;83.12136326;86.07641196;85.6449457;83.70671085;81.12375415
2000-05-03;0.9095902;5.6808944;-0.56483793;2.5580285;2.723532401;3.560915146662835;82.27597672;90.87541528;91.21470343;90.91135046;87.78654485
2000-05-04;2.2427704;5.100032;-0.93594795;2.082042;2.320150524;4.29616483281589;82.24688279;90.62873754;89.31829574;88.63628832;86.24003322
2000-05-05;1.3743114;5.502791;-1.6077479;1.9475218;2.518262011;4.512414740507965;82.24688279;90.62873754;89.31829574;88.63628832;86.24003322
2000-05-06;2.8418527;3.7399743;-0.591033;1.5744706;1.833120909;3.69066509127808;82.24688279;90.62873754;89.31829574;88.63628832;86.24003322
2000-05-07;0.03452459;4.1340714;-1.6375041;1.2482836;2.294229297;3.5320818256372246;82.24688279;90.62873754;89.31829574;88.63628832;86.24003322
2000-05-08;0.6012295;4.4643407;-1.2375201;1.6134104;2.336353002;3.4167485415347847;82.24688279;90.62873754;89.31829574;88.63628832;86.24003322
2000-05-09;0.0;9.592606;-1.2532724;4.169667;3.863104315;4.425914777431135;74.70573566;86.62873754;85.87635756;83.69428335;80.46760797
2000-05-10;0.0;8.922345;0.83444023;4.8783927;3.445566916;5.982914112814075;65.47547797;86.410299;88.58897243;89.52775476;87.02325581
2000-05-11;0.14363936;9.54392;1.6522939;5.5981073;3.263962784;6.703747138454324;65.47547797;86.410299;88.58897243;89.52775476;87.02325581
2000-05-12;8.735575;5.43051;0.18644531;2.8084779;2.251568141;6.242414002044565;65.2726517;85.78156146;88.30075188;89.38359569;87.02325581
2000-05-13;1.9719015;5.001828;-0.375762;2.3130333;2.538980342;6.6028305148646895;65.2726517;85.78156146;88.30075188;89.38359569;87.02325581
2000-05-14;0.0;8.092492;-0.4505133;3.8209898;3.384570323;6.905580385633595;52.53699086;82.98920266;85.78863826;83.48135874;80.59219269
2000-05-15;0.0;10.124414;0.7147417;5.4195786;3.861539123;7.136246953838475;48.90024938;81.79152824;87.85964912;89.06793703;88.91611296
2000-05-16;0.58527863;9.302519;1.7158164;5.5091677;3.495398671;7.799413337427504;47.8960931;77.16528239;84.58563074;87.36702568;88.84468439
2000-05-17;1.1506557;7.9750724;1.2653034;4.6201878;3.091059916;9.11132944409276;46.80798005;78.74833887;84.96157059;86.7978459;87.46594684
2000-05-18;26.772757;4.2068334;-1.8017647;1.2025343;2.548236817;7.929163282042749;46.80798005;78.74833887;84.96157059;86.7978459;87.46594684
2000-05-19;5.278623;0.9053096;-6.869506;-2.9820983;1.89390787;6.573997193839079;46.74147963;77.63030808;84.19434629;81.38939519;84.17109635
2000-05-20;0.046721313;-1.8541226;-7.262576;-4.5583496;1.396252228;4.699831327174429;46.74147963;77.63030808;84.19434629;81.38939519;84.17109635
2000-05-21;8.357541;2.3076997;-8.15669;-2.9244947;2.590125241;3.80599837538052;38.10058188;73.92352452;78.85897436;78.7986744;77.11710963
2000-05-22;0.0;0.7237408;-6.0431986;-2.659729;2.03743677;3.733915072816495;38.14214464;70.91112957;72.51879699;73.71748136;72.43521595
2000-05-23;0.0;3.5332851;-6.1659775;-1.3163458;2.42757658;3.6762484307652734;36.17290108;69.74916944;72.88805347;75.34548467;74.90033223
2000-05-24;0.0;6.780318;-1.3106674;2.7348251;3.011793419;4.23849819076467;34.19950125;72.47591362;80.17627402;82.06628003;82.30232558
2000-05-25;0.12740986;8.247561;0.49975938;4.3736606;3.412203942;5.521580976404315;34.19950125;72.47591362;80.17627402;82.06628003;82.30232558
2000-05-26;0.0;5.679836;1.4154799;3.547658;2.324182701;6.7181637989671295;34.19950125;72.47591362;80.17627402;82.06628003;82.30232558
2000-05-27;2.7425246;5.6753125;1.2166506;3.4459817;2.024792396;7.87149663999153;34.19950125;72.47591362;80.17627402;82.0;82.30232558
2000-05-28;3.0346394;3.457812;0.39578116;1.9267967;1.783767571;8.27516313435007;34.19950125;72.47591362;80.17627402;82.0;82.30232558
2000-05-29;0.24513115;1.8511871;-4.096086;-1.1224495;2.091506225;7.352496861530549;34.19950125;72.47591362;80.17627402;82.0;82.30232558
2000-05-30;5.2698197;1.0623838;-6.398091;-2.6678538;2.145500081;6.0982473969165145;34.19950125;72.47591362;80.17627402;82.0;82.30232558
2000-05-31;8.440246;1.6020852;-2.3408084;-0.36936158;1.650281527;5.24766442666102;34.19950125;72.47591362;80.17627402;82.0;82.30232558
